наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;Цвет
П98 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Маленькая, Ручки: Короткие, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на двух ручках и ручкоремне. Одно отделение на молнии. Задняя стенка: карман на молнии. Внутри: карман на молнии, карман для мобильного телефона. Габариты: ширина- 23; высота- 20; глубина- 8,5.";900 р.;13;https://olivi.su/catalog/rasprodazha/p98_sumka_zhenskaya/;https://olivi.su/upload/iblock/a20/a2007b1eeb0a97c97398158746b15def.jpg;беж.
П95 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Средние, Форма жесткости: Мягкая, Количество отделений: 2; Сумка женская Оливи, мягкая на двух ручках. Формат А4. Два отделения на молнии. Передняя стенка: вместительный открытый карман. Задняя стенка: карман на молнии. Внутри: карман на молнии, открытый карман, карман для мобильного телефона. Габариты: ширина- 34; высота- 27; глубина- 10.";1 000 р.;13;https://olivi.su/catalog/rasprodazha/p95_sumka_zhenskaya/;https://olivi.su/upload/iblock/7a5/7a579af272e13b95eb7fcb8265b48c46.jpg;беж./цветн.
П94 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Короткие, Форма жесткости: Мягкая, Количество отделений: 3; Сумка женская Оливи, полужесткая на двух ручках и регулируемом ручкоремне.Одно отделения на молнии и 2 дополнительных открытых отделения на магнитной кнопке.Внутри: карман на молнии, карман для мобильного телефона, карман-перегородка.Габариты: ширина-28; высота-20; глубина-12.";1 000 р.;13;https://olivi.su/catalog/rasprodazha/p94_sumka_zhenskaya/;https://olivi.su/upload/iblock/eec/eecc387758fe5d7466b2edc0b26f2a49.jpg;беж.св.жаккард
П88 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Средние, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на одной ручке.Формат А4.Одно отделение на молнии. Задняя стенка: карман на молнии. Передняя стенка: карман на магнитной кнопке.Внутри: карман на молнии, вместительный открытый карман.Габариты: ширина- 38; высота- 31; глубина- 15,5.";970 р.;13;https://olivi.su/catalog/rasprodazha/p88_sumka_zhenskaya/;https://olivi.su/upload/iblock/de3/de36fe9e079129b3fba94d23b18aac69.jpg;шок./цветн.
П85 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Средние, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на одной ручке.Одно отделение на молнии. Задняя стенка: карман на молнии.Внутри: карман на молнии, открытый карман, карман для мобильного телефона. Габариты: ширина- 32; высота- 26; глубина- 9";960 р.;13;https://olivi.su/catalog/rasprodazha/p85_sumka_zhenskaya/;https://olivi.su/upload/iblock/1fd/1fdd709a50f8394c5943deeae6f1e3d6.jpg;"красн.;рыж.крок."
П79 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Средние, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на двух ручках.Формат А4.Одно отделение на молнии. Задняя стенка: карман на молнии.Внутри: вместительный карман на молнии, открытый карман, карман для мобильного телефона.Габариты: ширина- 31; высота- 25; глубина- 14,5.";1 000 р.;13;https://olivi.su/catalog/rasprodazha/p79_sumka_zhenskaya/;https://olivi.su/upload/iblock/f13/f13bb5d392f2a145ed7d0d3702f22753.jpg;"кор.;сер.кор."
П150 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Маленькая, Ручки: Регулируемые, Форма жесткости: Мягкая, Количество отделений: 2; Сумка женская Оливи, мягкая на регулируемом ручкоремне. Два отделения на молнии. Задняя стенка: карман на молнии.Внутри: карман на молнии,открытый карман. Габариты: ширина-28; высота-24; глубина-6.";950 р.;13;https://olivi.su/catalog/rasprodazha/p150_sumka_zhenskaya/;https://olivi.su/upload/iblock/cb7/cb78ee1a173ef5083fd0e57e3c54c946.jpg;"бел.полос.;син.желт.рептил.;сер.крок."
П149 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Средние, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на двух средних ручках. Формат А4. Одно отделение на молнии. Внутри: вместительный карман на молнии, карман для мобильного телефона и открытый карман. Габариты: ширина- 30; высота-28,5; глубина-15.";1 030 р.;13;https://olivi.su/catalog/rasprodazha/p149_sumka_zhenskaya/;https://olivi.su/upload/iblock/c54/c5455a380eb425215c587499f0d4284e.jpg;сер.беж.
П148 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Короткие, Форма жесткости: Мягкая, Количество отделений: 3; Сумка женская Оливи, мягкая на двух ручках и регулируемом ручкоремне. Три отделения: одно на молнии, два на магнитной кнопке. Внутри: карман на молнии, открытый карман. Габариты: ширина- 28; высота- 24; глубина- 13.";1 000 р.;13;https://olivi.su/catalog/rasprodazha/p148_sumka_zhenskaya/;https://olivi.su/upload/iblock/d53/d53801d712ebbbcc79b2ae5196bde247.jpg;беж.тем.
П147 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Регулируемые, Форма жесткости: Мягкая, Количество отделений: 2; Сумка женская Оливи, мягкая на одной регулируемой ручке. Два отделения на молнии. На передней стенке карман на молнии. Внутри: карман на молнии, открытый карман. Габариты: ширина- 26,5; высота- 23; глубина- 12,5.";960 р.;13;https://olivi.su/catalog/rasprodazha/p147_sumka_zhenskaya/;https://olivi.su/upload/iblock/9ee/9ee92c7943233fed3de1165825c697d1.jpg;голуб.
П146 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Короткие, Форма жесткости: Мягкая, Количество отделений: 2; Сумка женская Оливи, мягкая на двух ручках и регулируемом ручкоремне. Два отделения на молнии. Передняя стенка: два кармана на молнии. Внутри: карман на молнии, открытый карман. Габариты: ширина- 26,5; высота- 23; глубина- 12,5.";1 000 р.;13;https://olivi.su/catalog/rasprodazha/p146_sumka_zhenskaya/;https://olivi.su/upload/iblock/f1e/f1ef9cbef5b65371c3f1ce7864752e3a.jpg;какао
П145 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Маленькая, Ручки: Регулируемые, Форма жесткости: Мягкая, Количество отделений: 1; Сумка мягкая на комбинированной ручке в виде цепочки, со вставками из экокожи для комфортной носки. Носить сумку можно на плече, через плечо, или в гибридном варианте. Одно отделение на молнии. Задняя стенка: карман на молнии. Внутри: карман на молнии, карман для мобильного телефона. Габариты: ширина- 30; высота- 18; глубина- 8,5.";800 р.;13;https://olivi.su/catalog/rasprodazha/p145_sumka_zhenskaya/;https://olivi.su/upload/iblock/a58/a5883319b936648f3e61bd148ddcd668.jpg;чер.
П144 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Маленькая, Ручки: Регулируемые, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на одном регулируемом ручкоремне. Одно отделение на молнии. Передняя стенка: карман на молнии. Задняя стенка: карман на молнии. Внутри: карман на молнии и открытый карман. Габариты: ширина-23; высота-13,5; глубина-7";700 р.;13;https://olivi.su/catalog/rasprodazha/p144_sumka_zhenskaya/;https://olivi.su/upload/iblock/35c/35c254fbe1d48bfc2480e7dfffdb8b7d.jpg;беж.
П143 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Средняя, Ручки: Короткие, Форма жесткости: Жесткая, Количество отделений: 1; Сумка женская Оливи, полужесткая на двух ручках. Одно отделения на молнии и 2 дополнительных открытых отделения на магнитной кнопке. Внутри: карман на молнии, карман для мобильного телефона, карман-перегородка. Габариты: ширина-28; высота-20; глубина-12.";1 050 р.;13;https://olivi.su/catalog/rasprodazha/p143_sumka_zhenskaya/;https://olivi.su/upload/iblock/2c0/2c05df996d93fe4cc4e1079f4254e939.jpg;сер.
П142 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Регулируемые, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на двух ручках. Формат А4. Одно отделение на молнии. Внутри: вместительный карман на молнии, карман для мобильного телефона и открытый карман. Габариты: ширина- 31; высота-32; глубина-11.";1 050 р.;13;https://olivi.su/catalog/rasprodazha/p142_sumka_zhenskaya/;https://olivi.su/upload/iblock/1da/1dab4d5c3b73508a9fdc3314c46f550f.jpg;сер.
П141 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Регулируемые, Форма жесткости: Жесткая, Количество отделений: 3; Сумка женская Оливи, жесткая на одной регулируемой ручке. Формат А4. Три отделения на молнии с клапаном. Внутри: карман на молнии, карман для мобильного телефона и открытый карман. Габариты: ширина- 32; высота-25; глубина-9.";1 100 р.;13;https://olivi.su/catalog/rasprodazha/p141_sumka_zhenskaya/;https://olivi.su/upload/iblock/1ca/1ca7354a5fb2ecc81bb30a0ea7444011.jpg;зелен.
П140 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Короткие, Форма жесткости: Жесткая, Количество отделений: 1; Сумка женская Оливи, жесткая на двух ручках и регулируемом ручкоремне. Формат А4.Одно отделение на молнии. Задняя стенка: карман на молнии.Внутри:открытый карман, карман на молнии, карман для мобильного телефона, вместительный жесткий карман-перегородка формата А5 для документов.Габариты: ширина- 35; высота- 23; глубина- 11,5.";1 090 р.;13;https://olivi.su/catalog/rasprodazha/p140_sumka_zhenskaya/;https://olivi.su/upload/iblock/f00/f00931b02401e088e4abeb6b95761b21.jpg;"беж.крок.;сер.крок."
П139 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Короткие, Форма жесткости: Полужесткая, Количество отделений: 1; Сумка женская Оливи, полужесткая на двух ручках. Формат А4.Одно отделение на молнии. Задняя стенка: карман на молнии.Внутри: карман на молнии,открытый карман, карман для мобильного телефона.Габариты: ширина- 33; высота- 25; глубина- 12.";1 050 р.;13;https://olivi.su/catalog/rasprodazha/p139_sumka_zhenskaya/;https://olivi.su/upload/iblock/119/11932c36a9de625e3b919e016847c439.jpg;сер.беж.
П138 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Длинные, Форма жесткости: Полужесткая, Количество отделений: 2; Сумка женская Оливи, полужесткая на двух ручках. Формат А4.Два отделения на молниях. Задняя стенка: карман на молнии.Внутри: карман на молнии,открытый карман, карман для мобильного телефона.Габариты: ширина- 33; высота- 26; глубина- 12.";1 000 р.;13;https://olivi.su/catalog/rasprodazha/p138_sumka_zhenskaya/;https://olivi.su/upload/iblock/d50/d50d370ac8a930b8bc5138d1623296e7.jpg;беж.
П137 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Короткие, Форма жесткости: Жесткая, Количество отделений: 1; Сумка женская Оливи, полужесткая на двух ручках и регулируемом речкоремне. Формат А4. Одно отделение на молнии. Задняя стенка: карман на молнии.Внутри: карман на молнии,открытый карман, карман для мобильного телефона.Габариты: ширина- 33; высота- 25; глубина- 12.";1 050 р.;13;https://olivi.su/catalog/rasprodazha/p137_sumka_zhenskaya/;https://olivi.su/upload/iblock/85b/85b3f09c9eee1776ac430b48fc51786e.jpg;беж.
П136 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Короткие, Форма жесткости: Жесткая, Количество отделений: 1; Сумка кисет женская Оливи, мягкая на регулируемом ручкоремне. Одно отделение с застежкой на молнии и шнурке.  Внутри: карман на молнии, карман для мобильного телефона.Габариты: ширина- 25; высота- 30; глубина- 15,5.";900 р.;13;https://olivi.su/catalog/rasprodazha/p136_sumka_zhenskaya/;https://olivi.su/upload/iblock/b0e/b0e70669988b9b1ad8b4748fb74d08c2.jpg;коралл
П135 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Маленькая, Ручки: Длинные и короткие, Форма жесткости: Жесткая, Количество отделений: 1; Сумка женская Оливи, жесткая на одной короткой ручке и длинном ручкоремне.Одно отделение на молнии с клапаном. Внутри: карман на молнии, открытый карман, карман-перегородка лоя документов. Габариты: ширина- 25; высота- 15; глубина- 5.";900 р.;13;https://olivi.su/catalog/rasprodazha/p135_sumka_zhenskaya/;https://olivi.su/upload/iblock/644/644c6764bef2455e9c3ed4cd6df1e261.jpg;бордо
П134 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Маленькая, Ручки: Короткие, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на двух ручках и регулируемом ручкоремне.Одно отделение на молнии. Внутри: открытый карман, карман на молнии, карман для мобильного телефона.Габариты: ширина- 26; высота- 23; глубина- 13.";800 р.;13;https://olivi.su/catalog/rasprodazha/p134_sumka_zhenskaya/;https://olivi.su/upload/iblock/54a/54a6d9763a96ab6d2d912c9de38e5194.jpg;бел./цветн
П133 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Средние, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на двух ручках и регулируемом ручкоремне.Формат А4. Одно отделение на молнии. На передней и задней стенке вместительные карманы на магнитной кнопке. Внутри: открытый карман, карман на молнии, карман для мобильного телефона. Габариты: ширина- 35; высота- 24; глубина- 15.";1 100 р.;13;https://olivi.su/catalog/rasprodazha/p133_sumka_zhenskaya/;https://olivi.su/upload/iblock/54a/54ad82b3a6e6c666ef4e6f6ebf91b420.jpg;"бирюз.;бел./цветн"
П132 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Короткие, Форма жесткости: Жесткая, Количество отделений: 2; Сумка женская Оливи, жесткая на двух ручках и регулируемом ручкоремне. Два отделения на молнии. Передняя стенка: карман на молнии с клапаном. Задняя стенка: карман на молнии.Внутри: карман на молнии,открытый карман, карман для мобильного телефона и вместительный карман-перегородка для документов. Габариты: ширина- 32; высота- 24; глубина- 12.";1 100 р.;13;https://olivi.su/catalog/rasprodazha/p132_sumka_zhenskaya/;https://olivi.su/upload/iblock/02a/02ab86c98e500e81da4b8714f774a4f5.jpg;"беж.;беж.свет.;какао"
П130 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Средние, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на двух ручках. Одно отделение на молнии с кнопкой. Внутри: открытый карман, карман на молнии, карман для мобильного телефона. Габариты: ширина- 33; высота- 23; глубина- 16.";950 р.;13;https://olivi.su/catalog/rasprodazha/p130_sumka_zhenskaya/;https://olivi.su/upload/iblock/702/7025eed58a1ae67e99fecdd5b46469f1.jpg;какао
П129 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Длинные и короткие, Форма жесткости: Мягкая, Количество отделений: 1; Сумка-рюкзак женская Оливи, мягкая на двух маленьких ручках и двух регулируемых ручках (67-132 см.) Формат А4. Ручки легко трансформируются, за счет чего сумку можно использовать как рюкзак и как сумку на длинном ремне. Одно отделение на молнии. Два вместительных боковых кармана. Передняя стенка: карман на молнии. Задняя стенка: карман на молнии. Внутри: открытый карман, карман на молнии. Габариты: ширина- 30; высота- 33; глубина- 12.";1 100 р.;13;https://olivi.su/catalog/rasprodazha/p129_sumka_zhenskaya/;https://olivi.su/upload/iblock/7b7/7b7be7b474121a7b09862f8d757b7247.jpg;зелен.
П128 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Короткие, Форма жесткости: Мягкая, Количество отделений: 3; Сумка женская Оливи, мягкая на двух ручках и регулируемом ручкоремне. Три отделения на молнии. Внутри: карман на молнии, открытый карман, карман для мобильного телефона.Габариты: ширина- 30; высота- 21; глубина- 13.";1 030 р.;13;https://olivi.su/catalog/rasprodazha/p128_sumka_zhenskaya/;https://olivi.su/upload/iblock/961/961f53d9baabe3e296698a496c7a8c8e.jpg;бел.
П127 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Маленькая, Ручки: Регулируемые, Форма жесткости: Мягкая, Количество отделений: 1; Сумка мягкая на комбинированной ручке в виде цепочки, со вставками из экокожи для комфортной носки. Носить сумку можно на плече, через плечо, или в гибридном варианте. Одно отделение на молнии. Задняя стенка: карман на молнии. Внутри: карман на молнии, карман для мобильного телефона. Габариты: ширина- 30; высота- 18; глубина- 8,5.";870 р.;13;https://olivi.su/catalog/rasprodazha/p127_sumka_zhenskaya/;https://olivi.su/upload/iblock/4a1/4a1686896ff0443c2d4fbb4c59fb6c9f.jpg;беж.
П125 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Короткие, Форма жесткости: Полужесткая, Количество отделений: 2; Сумка женская Оливи, полужесткая на двух ручках. Два отделения на молнии. Задняя стенка: карман на молнии. Внутри: карман на молнии,открытый карман, карман для мобильного телефона. Габариты: ширина- 28; высота- 24; глубина- 8.";1 100 р.;13;https://olivi.su/catalog/rasprodazha/p125_sumka_zhenskaya/;https://olivi.su/upload/iblock/b60/b60b50a4dd489c07ba6970268713b0c7.jpg;красн.
П124 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Регулируемые, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на одной регулируемой ручке. Одно отделение на молнии с клапаном. Внутри: карман на молнии и карман для мобильного телефона. Габариты: ширина-20; высота-17; глубина-10.";950 р.;13;https://olivi.su/catalog/rasprodazha/p124_sumka_zhenskaya/;https://olivi.su/upload/iblock/70d/70d5836385c7916ef155896fff13622b.jpg;беж.тем.
П123 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Средние, Форма жесткости: Мягкая, Количество отделений: 3; Сумка женская Оливи, мягкая на двух ручках и регулируемом ручкоремне. Три отделения: одно на молнии, два на магнитной кнопке. Внутри: карман на молнии, открытый карман. Габариты: ширина- 28; высота- 24; глубина- 13.";1 000 р.;13;https://olivi.su/catalog/rasprodazha/p123_sumka_zhenskaya/;https://olivi.su/upload/iblock/07c/07ca33a11c25f3474dbbbefb1692aa4f.jpg;красн.
П119 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Короткие, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на двух ручках. Одно отделение на молнии с кнопкой. Внутри: открытый карман, карман на молнии, карман для мобильного телефона. Габариты: ширина- 25; высота- 20; глубина- 16.";900 р.;13;https://olivi.su/catalog/rasprodazha/p119_sumka_zhenskaya/;https://olivi.su/upload/iblock/18f/18f878dacb715d8f22e2d2d4b9ae4cab.jpg;син.
П118 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Маленькая, Ручки: Средние, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на одной ручке. Одно отделение на молнии с клапаном. Внутри: карман на молнии и открытый карман. Габариты: ширина-17; высота-13; глубина-9.";840 р.;13;https://olivi.su/catalog/rasprodazha/p118_sumka_zhenskaya/;https://olivi.su/upload/iblock/316/316d5649741b640064f54addabd9b792.jpg;чер.крок.
П117 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Маленькая, Ручки: Поясной ремень и длинная регулируемая ручка, Форма жесткости: Мягкая, Количество отделений: 2; Поясная сумка. Два отделения на молнии. Регулируемый ремень для пояса и ручкоремень в комплекте. Габариты: ширина- 18; высота- 10; глубина- 3,5.";450 р.;13;https://olivi.su/catalog/rasprodazha/p117_sumka_zhenskaya/;https://olivi.su/upload/iblock/91c/91c81671a722654617ab1b6e26f19d09.jpg;красн.крок.
П116 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Длинные и короткие, Форма жесткости: Жесткая, Количество отделений: 1; Сумка женская Оливи, жесткая на одной короткой ручке и длинном ручкоремне. Одно отделение на молнии с клапаном. Внутри: карман на молнии, открытый карман, карман-перегородка для документов. Габариты: ширина- 25; высота- 15; глубина- 5.";900 р.;13;https://olivi.su/catalog/rasprodazha/p116_sumka_zhenskaya/;https://olivi.su/upload/iblock/04c/04cdb958556041f01c142bc741fe9cf3.jpg;син.желт.рептил.
П112 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Короткие, Форма жесткости: Мягкая, Количество отделений: 3; Сумка женская Оливи, мягкая на двух ручках и регулируемом ручкоремне. Формат А4.Три отделения на молнии. Задняя стенка: карман на молнии.Внутри: карман на молнии, карман для мобильного телефона, вместительный карман-перегородка.Габариты: ширина- 32; высота- 25; глубина- 16.";1 100 р.;13;https://olivi.su/catalog/rasprodazha/p112_sumka_zhenskaya/;https://olivi.su/upload/iblock/59b/59b6aec7e5fa5146569f79c4de57b94a.jpg;син.рептил.
П101 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Маленькая, Ручки: Короткие, Форма жесткости: Жесткая, Количество отделений: 2; Сумка женская Оливи, жесткая на двух ручках и регулируемом ручкоремне.Два отделения на молнии. Передняя стенка: карман на магнитной кнопке.Задняя стенка: карман на молнии.Внутри: карман на молнии, открытый карман, карман для мобильного телефона.Габариты: ширина- 26; высота- 20; глубина- 13";950 р.;13;https://olivi.su/catalog/rasprodazha/p101_sumka_zhenskaya/;https://olivi.su/upload/iblock/4bd/4bded8e085c352f7e688e85c599c3195.jpg;беж.
